phone_id,phone_type,area_code,contact_id,number
1,Cell-Phone,732,1,3927165
2,Work,575,1,7806421
3,Cell-Phone,907,2,9133698
4,Home,441,2,5572835
5,Work,526,2,6913663
6,Cell-Phone,637,3,7153867
7,Home,998,3,2394082
8,Work,470,3,3477202
9,Cell-Phone,359,4,7471907
10,Cell-Phone,543,5,7100843
11,Home,317,5,7560975
12,Work,672,5,6435210
13,Cell-Phone,227,6,9922900
14,Work,935,6,2214565
15,Cell-Phone,181,7,7819784
16,Cell-Phone,871,8,7917851
17,Work,420,8,9028960
18,Cell-Phone,933,9,2577616
19,Work,536,9,5968574
20,Cell-Phone,747,10,3034705
21,Home,449,10,9717759
22,Work,405,10,7466553
23,Cell-Phone,423,11,2570444
24,Home,790,11,8324539
25,Cell-Phone,537,12,9873004
26,Home,812,12,6712569
27,Work,974,12,3988066
28,Cell-Phone,994,13,1895386
29,Cell-Phone,223,14,7467737
30,Home,454,14,7308259
31,Cell-Phone,769,15,7409664
32,Work,944,15,1466149
33,Cell-Phone,275,16,4775499
34,Home,629,16,4384169
35,Work,100,16,7183343
36,Cell-Phone,272,17,3674116
37,Home,804,17,2096009
38,Cell-Phone,770,18,2825502
39,Work,725,18,1357813
40,Cell-Phone,131,19,1556846
41,Work,373,19,8296128
42,Cell-Phone,452,20,9672050
43,Work,205,20,8677790
44,Cell-Phone,310,21,5171998
45,Work,136,21,2099292
46,Cell-Phone,905,22,4420240
47,Home,130,22,4938381
48,Work,732,22,7358158
49,Cell-Phone,886,23,7021908
50,Home,234,23,7823406
51,Cell-Phone,562,24,6171312
52,Home,387,24,9952640
53,Work,364,24,8397318
54,Cell-Phone,873,25,5116075
55,Work,754,25,8152133
56,Cell-Phone,826,26,2974157
57,Cell-Phone,770,27,4536125
58,Work,205,27,3245139
59,Cell-Phone,806,28,1059954
60,Work,742,28,3399060
61,Cell-Phone,899,29,5224338
62,Home,388,29,4887596
63,Work,570,29,8959983
64,Cell-Phone,993,30,2280137
65,Home,744,30,5442543
66,Cell-Phone,939,31,6930069
67,Work,612,31,2229943
68,Cell-Phone,330,32,8604567
69,Home,742,32,3021759
70,Home,154,33,6700891
71,Work,555,33,9966608
72,Cell-Phone,189,34,1582552
73,Work,955,34,2587776
74,Cell-Phone,929,35,6509987
75,Home,656,35,8949957
76,Cell-Phone,713,36,3734369
77,Work,844,36,4427505
78,Cell-Phone,708,37,5805566
79,Work,222,37,8342561
80,Cell-Phone,544,38,2543783
81,Home,581,38,5102303
82,Work,277,38,2757948
83,Cell-Phone,918,39,9671567
84,Home,280,39,3456777
85,Work,337,39,5870981
86,Cell-Phone,441,40,5723400
87,Home,549,40,8824758
88,Work,147,40,8875649
89,Cell-Phone,798,41,7973341
90,Home,955,41,3321578
91,Cell-Phone,519,42,7745168
92,Cell-Phone,808,43,8240672
93,Home,935,43,3978398
94,Work,346,43,1772480
95,Cell-Phone,584,44,5390112
96,Work,504,44,7025753
97,Cell-Phone,398,45,8793327
98,Work,335,45,8293422
99,Cell-Phone,930,46,8198669
100,Home,438,46,5588607
101,Work,310,46,2760552
102,Cell-Phone,146,47,3008184
103,Home,551,47,5396647
104,Work,619,47,7062111
105,Cell-Phone,637,48,6500978
106,Work,767,48,1028784
107,Home,453,49,2220717
108,Cell-Phone,488,50,8517113
